,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,average_importance
target_ret_5,0.20616246818682,0.19904636526439842,0.2013075732381546,0.19237971643626747,0.20026060255768624,0.20494338884807817,0.2006833524219008
target_tac_residual,0.0396599823427746,0.038686880791421435,0.038830533368981075,0.03726322134808236,0.038373753783592396,0.040248836924108244,0.03884386809316002
Is_Quarter_End,0.004805478636030403,0.004720079325706498,0.004531372511471956,0.004787180235905644,0.004477338258039541,0.004543954402008666,0.004644233894860452
log_days_since_pub,0.0019012917623995496,0.001650753632912277,0.0017422846060733462,0.0017731359439800097,0.0016951983910173556,0.0017437268998711161,0.0017510652060422757
DayOfMonth,0.0014286763492744742,0.0013301685903234798,0.0013859501856049367,0.0016341741009759068,0.0015079315668668776,0.0013235542908366443,0.0014350758473137201
Month_in_Quarter,0.0010319272421967795,0.001310476934337388,0.0011486217285946773,0.0012160223866567192,0.0013581600199399366,0.0014046038050848076,0.0012449686861350515
MAE_5,0.0013173856986342229,0.0012342725827890959,0.0008914175754124482,0.0012396979134910247,0.00152254570436976,0.0012349361762856198,0.0012400426084970284
Beta_60,0.0008922786537517781,0.0012111398141612724,0.0010312396214873468,0.0011195238470876265,0.0007183421656654145,0.0008099037832561656,0.0009637379809016006
Market_HV_20,0.001082182918795543,0.0005968058383083073,0.0012238054621645383,0.00027524742837404446,0.0008559974962402971,0.001285607956974607,0.0008866078501428894
Market_Trend_Idx,0.0005825938840400306,0.0006842523803398732,0.000607624548732742,0.000585359033146317,0.0005561237109941224,0.0005247724165618597,0.0005901209956358242
Dist_SMA5,0.0005616324167443668,0.000845670087580076,0.0007107545130487122,0.0004939833280942472,0.00036099132539064554,0.0004295377240218781,0.0005670948991466544
time_idx,0.0003739386895044364,0.0005316393935926698,0.0003128057434762869,0.0005655751514030623,0.00046871596791958235,0.0010670533722835513,0.0005532880530299316
ATR_Ratio,0.0005395714205568857,0.0005680345845948849,0.000580476889697571,0.00043932987558513323,0.0005741643641635324,0.0006120652963067066,0.0005522737384841191
Volatility_Parkinson,0.0005986955823255269,0.0005421785454445791,0.0005556649675942203,0.0005530613545501904,0.00037214537196051756,0.0005664133408152881,0.000531359860448387
overseas_flow_trend,0.000707288754979241,0.0004327993672236084,0.00028865753356315844,0.0007605958900270386,0.00038643913427633796,0.0004082068944058526,0.0004973312624125395
Log_Trading_Cap,0.0004981080633177019,0.0004578401569473657,0.00041934980586888325,0.00043550014508974335,0.0004424691836085061,0.0004326662092725676,0.0004476555940174613
Quarter,0.00015141446327475766,0.00036182435562555473,0.0002215393299465132,7.745615731637169e-05,0.00022570810738504812,0.00035820708559832447,0.00023269158319109496
volume_p_MA5,0.0002705457289312253,0.00019037630826412925,0.00022466701635358714,0.00022819786248133478,0.00017060172757340573,0.00023850308353177169,0.00022048195452257566
Abnormal_Volume,0.00019180914144015162,0.0002530219839210092,0.00016630022133638239,0.00019469845368119684,0.0002628484304142856,0.00020754900576282066,0.00021270453942597438
