,fold_0,fold_1,fold_2,fold_3,fold_4
MOM_DistSMA5-25_RAW,1.1559089299140093e-05,0.0,2.2124571670457188e-06,3.744238615626862e-05,0.00011776113903346256
MOM_DistSMA25-75_RAW,2.6918225099151913e-05,0.0,0.0001506136256421095,5.028067609276567e-05,0.00010141822292229287
MOM_LinRegSlope10_RAW,2.8532991925624945e-05,0.00015132536111382678,2.952847876100195e-05,6.314468854538891e-05,0.0003180447708448641
MOM_DistHigh60_RAW,1.2904346972394163e-05,0.0,1.1754226825916112e-05,1.825775971030587e-05,0.000134183365144572
MOM_DistKijun_RAW,4.787465149239763e-05,0.0,2.30951669459193e-05,3.584186426456022e-05,9.092973524741891e-05
MOM_NewHighFlag3_RAW,0.0,0.0,0.0,0.0,0.0
MOM_PricePos120_RAW,3.623664251085351e-05,0.0,0.00010220341911472112,7.536194644884214e-05,0.0003013463116688308
MOM_IchimokuDist_RAW,3.1461257182708414e-05,0.0,0.00018462133393510726,9.115273100182695e-05,0.00017754081939027323
MOM_Return10d_RAW,1.3288724304350006e-05,0.0,5.3614274891311115e-06,1.8598974204669013e-05,3.0970132499463946e-05
MOM_Return20d_RAW,4.741886840830825e-05,0.0,0.000154285112279953,8.976624389759153e-05,0.0003003109680347894
MOM_BullishRatio20_RAW,0.0,0.0,0.0,3.947376075120702e-06,1.8931176270350952e-05
MOM_ClosePosition_RAW,0.0,0.0,0.0,0.0,4.805961741091279e-05
MOM_MaxGain5_RAW,2.633518908279168e-06,0.0,5.1613359067076374e-05,2.0795931643026786e-05,6.407491107508144e-05
MOM_RCI26_RAW,8.620841113120831e-06,0.0,0.0,0.0,5.9459127976823645e-05
MOM_RCI52_RAW,3.702231191697387e-05,0.0,3.9032967419146326e-05,1.934958519948199e-05,0.00027459291273299676
MOM_Momentum12-1_RAW,0.00020648671144943466,0.00012076429765499473,0.00014278951570428588,0.0004006427155471838,0.0006840084271096683
MOM_WinRate10d_RAW,0.0,0.0,0.0,7.809022175463591e-06,3.1660816459454305e-06
MOM_MADev25_RAW,2.882946741126734e-05,0.0,5.408128552836157e-05,7.52562969997964e-05,0.00010737815348569251
MOM_MADev75_RAW,2.702610372832424e-05,0.0,0.00044649174703705025,0.000223352796549718,0.00014652476749923038
MOM_MADev200_RAW,0.00014079502192552065,0.0002340515427451747,0.00033030100177937186,0.00011632458575292787,0.0003597963194620233
MOM_Return6m_RAW,4.9872084584446665e-05,0.00010678784104754104,0.00027669054017892374,0.00017177016242295805,0.00023530781248550257
MOM_Return12m_RAW,0.0009727387700590162,0.0006015802398198163,0.0013262501631319177,0.0017323601743167245,0.0030357461449837505
MOM_High52wDist_RAW,7.748170791623789e-05,0.00018421100277932185,0.00029468162895132535,0.00012665803466172985,0.0007913224870028176
VOL_MAE5_RAW,5.270486783968541e-05,0.0,9.075192918477555e-05,9.752828310815432e-05,2.6138997681549662e-05
VOL_MAE10_RAW,6.549974014814442e-05,2.397010218549126e-05,0.0002323782048938168,0.0004414173455742423,0.0011376127053683129
VOL_DownsideRun_RAW,2.2634571578793363e-05,0.0,0.00011659989951570812,9.877424978726396e-06,0.0001495241405957684
VOL_GapAbs_RAW,6.462386127742357e-06,0.0,4.664948401677021e-06,5.995145054930704e-06,3.368271540492505e-05
VOL_LargeMoveCount_RAW,3.202628940349592e-05,0.0,4.2163656726277264e-05,2.1551950483522496e-05,2.309862284066841e-05
VOL_ATRRatio_RAW,0.0007142501967844528,2.324408605297295e-05,0.0008644554142747457,0.0003918504539159795,0.002931906231288397
VOL_ATRSqueezeBB_RAW,0.0,0.0,3.5939822194884994e-06,0.0,0.000106556397893391
VOL_HistVol20_RAW,4.997482895889416e-06,0.0,0.00012748726015313896,9.968091169517956e-05,0.0001020089403052343
VOL_HV30_RAW,0.00031599174699401754,2.5600879002877764e-05,0.0012057386613202117,0.0008241499071640992,0.0009776749573330225
VOL_UlcerIndex14_RAW,2.1759589652033014e-05,0.0,1.262029447208149e-05,1.0300630870402132e-05,9.741007278475459e-05
VOL_VolatilityParkinson_RAW,0.0007609890203144946,0.00013723029452056615,0.00011299914967173768,0.0006514928050548152,0.0010745423062495504
VOL_ReturnVolatility_RAW,5.448578429241892e-06,0.0,6.65780620051405e-05,2.9255556267612475e-05,6.854323815054461e-05
VOL_DownsideDev60_RAW,0.00034466575440911316,3.0149519054819507e-05,0.0003421260468028321,0.00028407288888976075,0.0005308093837720271
VOL_Volatility60_RAW,0.0003534113186315853,6.712254398275209e-05,0.0005499755793281358,0.0004248467153167365,0.002113011347010575
LIQ_VolSpikeCount20_RAW,0.0,0.0,0.0,0.0,0.0
QLT_ROE_RAW,0.0002727077382360555,0.00011457711131864374,0.0002458788604487881,0.00046233642995837423,0.0005184267208520921
QLT_SalesGrowthYOY_RAW,0.001175985595879872,0.00012777020125505863,0.0006419274529323498,0.0010854212866224708,0.0014497528866544377
SPD_VWAPDev_RAW,0.008319709356506156,0.0017445700813005993,0.007630782983136414,0.010739182616522779,0.01105936667738918
SPD_MarketForeignBuy_RAW,0.00044835850680078975,1.2508939435679404e-05,0.0003043923378492499,0.0004326219086367863,0.00151718768223476
SPD_MarketIndividualBuy_RAW,0.0014637044096890222,0.00019183426131328584,0.000790348897091408,0.0003199673835105447,0.0025584842569647
SPD_OverseaFlowTrend_RAW,0.0020576705533675043,0.00012787091968717435,0.0013408985465326532,0.0014274161000885116,0.0027417932086967476
BET_Beta60_RAW,0.00023073546805322376,8.937147856647088e-05,0.0005890824816166283,0.0002594303640705853,0.0005451307026008954
BET_MarketHV20_RAW,0.0014794214018442114,0.0003613211376613391,0.0011680362961218511,0.000912636723062483,0.0019385626430556801
BET_SectorRel_RAW,0.0005885227412572208,0.0,5.662798091415757e-05,0.00011588927696338467,0.000597412670789332
BET_SectorRelStrength60_RAW,0.001578455691649365,0.0005630056652070561,0.0007457402401204654,0.0004413226822667072,0.0025933805557579854
SEA_MonthInQuarter_RAW,2.263047634390905e-05,1.0673678440455495e-05,2.1124144973611166e-05,8.413203144822892e-06,7.303426750043637e-05
SEA_DayOfMonth_RAW,2.852611299516473e-05,1.0412576126151204e-05,3.9700604687815346e-05,9.556303826135787e-05,6.776149228719693e-05
SEA_DayOfWeek_RAW,0.0,0.0,7.149376411847721e-06,1.3942877608123986e-05,2.5508518378945736e-06
SEA_SinDayOfWeek_RAW,0.0,0.0,4.364427638946972e-06,1.0933717171609966e-05,3.524430278032989e-05
SEA_CosDayOfWeek_RAW,3.003318640798963e-06,0.0,1.5022876522796632e-05,6.9703187770623635e-06,0.00026313762604127994
SEA_IsGotobi_RAW,0.0,0.0,7.106226984969652e-06,0.0,1.5439133131625376e-05
SEA_IsMonthEnd_RAW,0.0,0.0,0.0,0.0,8.152558170791203e-06
SEA_Quarter_RAW,0.0035682308307533927,0.0011357185601085303,0.0026627506760768856,0.0014935103022839884,0.0017346623091286915
SEA_IsQuarterEnd_RAW,0.0,1.3360313542247364e-05,0.0,0.0,0.0
SEA_TimeIdx_RAW,0.013003549708261262,0.0009104568710014896,0.002937538927994479,0.0028081806033575358,0.007793360520627354
EVT_IsMissingEPS_RAW,0.0,0.0,0.0,0.0,0.0
EVT_LogDaysSincePub_RAW,9.53991225082315e-06,0.0,1.7317232935394335e-05,2.4787890931461962e-05,0.0004290888747542781
CON_RevisionRate_RAW,1.4584007306076913e-05,0.0,5.6399454269965735e-06,1.0468123984669283e-05,1.9981715797446842e-05
CON_ProgressRate_RAW,0.0007761339568817601,0.00016768031902432136,0.00025922835844634316,0.0007751287792897209,0.0017985269735077177
GOV_MarketSegment_RAW,0.0004620305252884991,0.0002033473581818575,9.757274430524102e-05,5.152257245127829e-05,0.00029054373339809804
GOV_Sector33Code_RAW,0.0008128346810674053,0.0001765414623919339,0.0011952725809121943,0.00043806218260703325,0.0011064731176285687
MOM_ADX14_TSZ_20D,0.0,0.0,0.0,0.0,1.8426618579413382e-06
MOM_ADX14_TSR_252D,1.9028249450745016e-06,0.0,1.9182635419792098e-05,0.0,0.0001095582781452292
MOM_DistSMA5_TSZ_20D,7.147973092937051e-05,0.0,6.200599846074297e-06,2.6724372711352043e-05,1.9285617625306654e-05
MOM_DistSMA5-25_TSZ_20D,0.0,0.0,0.0,0.0,4.1644998673052996e-05
MOM_DistSMA5-25_TSR_252D,0.0,0.0,0.0,1.0951303566203627e-05,6.497566366817446e-05
MOM_DistSMA25-75_TSZ_20D,3.968594226548116e-05,0.0,1.0878221312587783e-05,7.996227260988816e-05,0.0010493516470582167
MOM_DistSMA25-75_TSR_252D,7.727844008564151e-06,0.0,8.351895988222554e-05,1.2515646099983105e-05,7.589443771653744e-05
MOM_EfficiencyRatio10_TSZ_20D,0.0,0.0,0.0,0.0,3.0297634277763014e-05
MOM_EfficiencyRatio10_TSR_252D,0.0,0.0,0.0,0.0,6.751393345830955e-05
MOM_MACDHistNorm_TSZ_20D,6.688097432290598e-06,0.0,0.0,0.0,1.1822039358573744e-05
MOM_MACDHistNorm_TSR_252D,3.883157929866792e-05,0.0,0.0,4.163813187654006e-06,4.0429571919157095e-05
MOM_MACDHistDiff_TSZ_20D,0.0,0.0,0.0,5.786018720671875e-06,2.8637411297682605e-05
MOM_MACDHistDiff_TSR_252D,4.379151626563561e-06,0.0,0.0,0.0,1.8420156372122854e-05
MOM_DistHigh60_TSZ_20D,3.340819960806491e-05,0.0,0.0,6.0944933085607665e-05,0.00037598254547926274
MOM_DistHigh60_TSR_252D,6.4714467881320434e-06,7.325565569930954e-06,7.747860491912138e-05,4.58274052027985e-05,5.762451618352267e-05
MOM_DistHigh250_TSZ_20D,0.0,0.0,0.0,6.10053551061227e-05,2.893275526700367e-05
MOM_DistKijun_TSZ_20D,0.0,0.0,0.0,8.023116252399906e-06,8.086189071500854e-06
MOM_DistKijun_TSR_252D,1.7570909040010407e-05,0.0,1.576280400242426e-05,5.356223661623904e-05,2.3544129562574435e-05
MOM_NewHighFlag3_TSZ_20D,0.0,0.0,0.0,0.0,0.0
MOM_NewHighFlag3_TSR_252D,4.823696313535774e-05,3.354701498557919e-05,0.00025640928699622814,0.0004912290425938939,0.0008792497948802582
MOM_PricePos120_TSZ_20D,3.5147417232687027e-05,0.0,0.0,1.4564668990891285e-05,3.0358736124070357e-05
MOM_PricePos120_TSR_252D,7.384082989921007e-06,0.0,1.397267269551262e-05,3.360942290417e-06,3.6405704801600154e-05
MOM_IchimokuDist_TSZ_20D,1.2175173558123103e-05,0.0,0.0,0.0,6.390587287616321e-05
MOM_IchimokuDist_TSR_252D,8.422744981548264e-06,0.0,0.00015669827277294636,2.7786670807995063e-05,3.0413590575575075e-05
MOM_LogReturn_TSR_252D,0.0,0.0,4.329300909417393e-05,0.0,2.496804885999182e-05
MOM_Return3d_TSZ_20D,0.0,0.0,1.8509534169011079e-06,0.0,4.453425683477796e-05
MOM_Return3d_TSR_252D,1.2268105096031126e-05,0.0,2.7270483720019715e-06,0.0,1.29973683573188e-05
MOM_Return5d_TSZ_20D,0.0,0.0,0.0,0.0,5.588210860761389e-05
MOM_Return5d_TSR_252D,0.0,0.0,0.0,1.9113697709826584e-05,4.6202477717772346e-05
MOM_Return10d_TSZ_20D,0.0,0.0,0.0,3.848158777066737e-06,0.00011452396351895631
MOM_Return10d_TSR_252D,3.4253512665339446e-05,0.0,1.2829328850340486e-05,9.985795027388109e-06,8.491108616837433e-05
MOM_Return20d_TSZ_20D,0.0,0.0,0.0,1.6335917071006247e-05,0.0002880247430136596
MOM_Return20d_TSR_252D,6.168550646378304e-06,0.0,0.0,3.279742103090806e-05,4.5936182308423134e-05
MOM_Return1dLag1_TSR_252D,2.8273598034577404e-05,0.0,2.0958553351217476e-05,1.56392807392642e-05,0.0005749982329815142
MOM_Return1dLag2_TSR_252D,0.0,0.0,1.251253721434268e-05,1.4106120745475076e-05,1.3295125459856045e-05
MOM_RSI9-14Diff_TSZ_20D,1.1340734632222264e-05,0.0,0.0,5.811783117062607e-06,4.1302141038389963e-05
MOM_RSI9-14Diff_TSR_252D,0.0,0.0,0.0,1.0903804789594811e-05,4.066623253924361e-05
MOM_BBPercentB_TSZ_20D,0.00017852514593570782,0.0,9.846460312000773e-06,0.0,3.842113829757767e-05
MOM_UpperShadowRatio_TSZ_20D,0.0,0.0,0.0,0.0,1.4194188285484077e-05
MOM_UpperShadowRatio_TSR_252D,0.0,0.0,0.0,0.0,4.242466362729986e-06
MOM_LowerShadowRatio_TSZ_20D,0.0,0.0,0.0,1.069145003499901e-05,2.9143421698064128e-05
MOM_LowerShadowRatio_TSR_252D,0.0,0.0,0.0,0.0,3.093406513532595e-05
MOM_IntradayStrength_TSR_252D,0.0,0.0,8.830404514670274e-06,2.152960459698328e-06,1.851145563160845e-05
MOM_LowerShadowMA5_TSZ_20D,0.0,0.0,6.632446469877008e-06,0.0,2.2873365765284305e-05
MOM_LowerShadowMA5_TSR_252D,0.0,0.0,0.0,3.1741683678020938e-06,3.051882981205353e-06
MOM_Streak_TSZ_20D,1.5172074841027669e-05,0.0,0.0,0.0,8.90960059157297e-05
MOM_Streak_TSR_252D,0.0,0.0,0.0,0.0,2.317962591023089e-05
MOM_BullishRatio20_TSZ_20D,0.0,0.0,2.201964401153526e-06,0.0,8.144202747996813e-05
MOM_BullishRatio20_TSR_252D,2.0388194604307097e-05,0.0,0.0,0.0,8.03883385861277e-05
MOM_ClosePosition_TSZ_20D,2.1251921411952854e-05,0.0,0.0,0.0,1.85754227753899e-05
MOM_ClosePosition_TSR_252D,8.995441043210189e-06,0.0,2.5548663026864914e-05,4.8256721918528775e-05,5.732699367573497e-05
MOM_GapRate_TSZ_20D,0.0,0.0,1.1422847727473187e-05,3.7821832123497933e-06,4.566957331474068e-05
MOM_GapRate_TSR_252D,1.673189013607772e-06,0.0,1.2444153390099865e-05,5.713370052635408e-06,9.298214548412347e-05
MOM_MaxGain5_TSZ_20D,0.0,0.0,1.4877003608532674e-05,0.0,3.5072559920182016e-05
MOM_MaxGain5_TSR_252D,0.0,0.0,0.0,0.0,5.392170734345329e-05
MOM_RCI9_TSZ_20D,5.825696431137833e-06,0.0,0.0,0.0,2.4311063730270046e-05
MOM_RCI9_TSR_252D,8.221067816371718e-06,0.0,7.026898786111391e-05,0.0,1.930113389856931e-05
MOM_RCI9Diff_TSR_252D,0.0,0.0,1.4077759083177005e-05,0.0,0.00043342588241698424
MOM_RCI26_TSZ_20D,0.0,0.0,0.0,1.917877947074572e-05,2.2948335875784438e-05
MOM_RCI26_TSR_252D,0.0,0.0,0.0,1.0627478352012518e-05,0.00024198674756939026
MOM_RCI26Diff_TSZ_20D,0.0,0.0,0.0,0.0,6.080943958595441e-05
MOM_RCI26Diff_TSR_252D,0.0,0.0,0.0,1.8070427978186342e-05,4.463873558322614e-05
MOM_RCI52_TSZ_20D,0.00013006779152002296,0.0,3.2525292341134213e-06,4.386755650038823e-05,0.000506733890577972
MOM_RCI52_TSR_252D,1.2385208993845297e-05,0.0,4.6116477246291196e-05,1.1092342427577961e-05,0.0009305528257270278
MOM_Momentum12-1_TSZ_20D,1.942753260215477e-05,0.0,0.0,3.453607867052796e-05,0.00012038690676787598
MOM_Momentum12-1_TSR_252D,1.8366044871521307e-05,0.0,0.0002175673592380975,9.139713663510005e-05,0.00019072740359390048
MOM_RetIntraday_TSZ_20D,0.0,0.0,7.32512084831517e-07,0.0,2.6099699224224736e-05
MOM_RetIntraday_TSR_252D,3.981149109471626e-05,0.0,0.0,2.8123172929550803e-06,4.595273056482966e-05
MOM_WinRate10d_TSZ_20D,1.1489442680928742e-06,0.0,0.0,0.0,1.0644960125781892e-05
MOM_WinRate10d_TSR_252D,4.385199516698498e-05,0.0,0.0,2.1071244916810824e-06,2.1615637972149984e-05
MOM_MADev25_TSZ_20D,1.7530275503448854e-05,0.0,0.0,0.0,3.9246008254948994e-05
MOM_MADev25_TSR_252D,4.436537090804497e-05,0.0,1.3926659624770912e-05,8.360377021706366e-05,7.972441442894876e-05
MOM_MADev75_TSZ_20D,0.00018640081488867168,0.0,0.0,3.936398350098708e-05,0.0010619241811684955
MOM_MADev75_TSR_252D,5.5613051001161286e-05,0.0,7.300358358886169e-05,2.8842188037834285e-05,0.00016166103255211704
MOM_MADev200_TSZ_20D,0.0,0.0,0.0,9.162747320737977e-06,2.2775468768413695e-05
MOM_MADev200_TSR_252D,9.273686407939106e-06,1.5352149309986265e-05,7.274236491982534e-05,7.816383058115205e-05,0.00013596754719271708
MOM_Return6m_TSZ_20D,0.0,0.0,2.3581641793654683e-05,8.718685139280842e-05,2.5163534083860724e-05
MOM_Return6m_TSR_252D,4.412401297412708e-05,0.0,0.00013543556205271605,1.8832102540779536e-05,0.0004364112826465649
MOM_Return12m_TSZ_20D,0.0,0.0,0.0,0.0,2.630061090385235e-05
MOM_Return12m_TSR_252D,0.0001469727352965557,0.0,0.00013875010366345622,0.00022213147168177524,0.0003508474584655025
MOM_High52wDist_TSZ_20D,1.4485812020077148e-05,0.0,0.0,0.0,4.617657113066827e-05
MOM_High52wDist_TSR_252D,3.804753105017706e-05,0.0,0.0003133118560548858,6.33368172525982e-05,0.00015932510459671756
VOL_MAE5_TSZ_20D,0.0,0.0,0.0,0.0,4.1344658096138954e-05
VOL_MAE5_TSR_252D,2.545854171403445e-05,0.0,0.0,6.200111836869224e-05,3.998130309994908e-05
VOL_MAE10_TSZ_20D,0.0,0.0,0.0,0.0,3.3461722319181414e-06
VOL_MAE10_TSR_252D,0.0004229322576296462,0.0,1.9254361450577502e-05,8.284994855539201e-05,8.05349121745451e-05
VOL_DownsideRun_TSZ_20D,0.0,0.0,0.0,0.0,5.549566130135079e-06
VOL_DownsideRun_TSR_252D,2.2888002796051698e-05,0.0,4.2779683711219025e-06,1.2070141177639374e-05,0.00011298148682520178
VOL_ReturnSkewnessDiff_TSZ_20D,0.0,0.0,0.0,5.710405546386478e-06,2.5438625750813714e-05
VOL_ReturnKurtosis_TSZ_20D,0.0,0.0,0.0,0.0,6.38572982153595e-06
VOL_ReturnKurtosis_TSR_252D,0.0,0.0,0.0,0.0,3.2204013280206604e-05
VOL_GapAbs_TSZ_20D,0.0,0.0,0.0,0.0,2.063306831658599e-05
VOL_GapAbs_TSR_252D,0.0,0.0,0.0,3.2392291991483527e-06,3.432546929647356e-05
VOL_LargeMoveCount_TSZ_20D,0.0,0.0,0.0,7.135357750039016e-06,1.4790534971921289e-05
VOL_LargeMoveCount_TSR_252D,3.9467371363649704e-05,0.0,0.0001227645156150212,2.3309514143078077e-05,7.571102696553032e-05
VOL_RangeRatioLong_TSZ_20D,0.0,0.0,0.0,0.0,2.4628638796671574e-05
VOL_RangeRatioLong_TSR_252D,0.0,0.0,1.8686448861406182e-06,0.0,4.168094882610219e-05
VOL_ATRRatio_TSZ_20D,0.0,0.0,7.3361281919767444e-06,7.663862034506802e-06,2.6537147142259853e-05
VOL_ATRRatio_TSR_252D,8.950670774926054e-05,3.504202549855058e-05,0.0014073725214555019,0.00048049497648385307,0.0019032136620120309
VOL_ATRSqueeze_TSZ_20D,0.0,0.0,0.0,2.2762920145601027e-05,2.7757215537840192e-05
VOL_ATRSqueeze_TSR_252D,0.0,0.0,0.0,0.0,1.6198007395428626e-05
VOL_ATRSqueezeBB_TSZ_20D,0.0,0.0,4.370824664704817e-06,0.0,7.918690442653344e-06
VOL_ATRSqueezeBB_TSR_252D,0.0,0.0,1.247938644346587e-05,0.0,2.626105748448194e-05
VOL_HistVol20_TSZ_20D,8.662194992790314e-07,0.0,0.0,1.8089025204873637e-06,2.9341167203263365e-06
VOL_HistVol20_TSR_252D,5.263520506522652e-05,0.0,0.0001083625786950468,1.4614185394544373e-05,5.990962145481159e-05
VOL_HV30_TSZ_20D,0.0,0.0,5.121636924250899e-06,0.0,0.0
VOL_HV30_TSR_252D,1.4828183867621404e-05,5.81616840987519e-05,5.362562828327743e-05,4.106928258809761e-05,7.93231561662796e-05
VOL_HVSlope_TSZ_20D,0.0,0.0,0.0,0.0,2.6948359116522903e-06
VOL_HVSlope_TSR_252D,0.0,0.0,5.633622223275196e-06,0.0,8.605080212382744e-06
VOL_RealizedSkew20_TSZ_20D,0.0,0.0,6.489894712361737e-06,0.0,0.0
VOL_RealizedSkew20_TSR_252D,0.0,0.0,0.0,0.0,0.00012392739985380439
VOL_UlcerIndex14_TSZ_20D,8.794473450399344e-06,0.0,5.207930002618811e-06,2.043607339438332e-05,2.8051287083299857e-05
VOL_UlcerIndex14_TSR_252D,0.0,1.135406307166384e-05,2.556088875002732e-05,2.140690887831665e-05,2.1334292935026472e-05
VOL_ATRChgRate_TSZ_20D,0.0,0.0,0.0,0.0,6.992761955069656e-05
VOL_ATRChgRate_TSR_252D,0.0,0.0,0.0,4.07890165119639e-06,4.504500261232879e-05
VOL_VolatilityParkinson_TSZ_20D,0.0,0.0,0.0,0.0,4.544985400351044e-06
VOL_VolatilityParkinson_TSR_252D,5.592560160084105e-05,0.0,0.0006271628939811585,0.00017330781703311406,0.0003771894362594553
VOL_ReturnVolatility_TSZ_20D,0.0,0.0,0.0,0.0,0.0
VOL_ReturnVolatility_TSR_252D,2.7628812269816093e-05,0.0,0.0,0.0,1.485098603070356e-05
VOL_VolRatioHV_TSZ_20D,0.0,0.0,0.0,0.0,3.552113316211302e-05
VOL_VolRatioHV_TSR_252D,0.0,0.0,0.0,0.0,3.5806632207250895e-05
VOL_DownsideDev60_TSZ_20D,0.0,0.0,0.0,0.0,1.7176661490878003e-05
VOL_DownsideDev60_TSR_252D,4.083495693232855e-05,1.8384443265972852e-05,6.408919881467627e-05,0.0001125360844677858,0.00025887759845620427
VOL_Volatility60_TSZ_20D,0.0,0.0,1.861240982090251e-05,0.0,0.0003774997692858702
VOL_Volatility60_TSR_252D,8.787008244263731e-05,1.3062287703127923e-05,0.00019380463339652357,0.00033804406766847685,0.0007803198045710587
LIQ_AbnormalVolume_TSZ_20D,0.0,0.0,7.794469542912547e-06,0.0,2.7313906174359546e-05
LIQ_AbnormalVolume_TSR_252D,0.0,0.0,7.407767476129293e-06,0.0,9.434870225101224e-05
LIQ_VolumeChange_TSR_252D,0.0,0.0,0.0,0.0,1.6115114529640977e-05
LIQ_VolumeSlope5_TSR_252D,0.0,0.0,0.0,0.0,3.999771251719273e-06
LIQ_LogTradingCap_TSR_252D,1.7322402703264294e-05,0.0,3.389791142077964e-05,0.0,6.777346368801454e-05
LIQ_MFI14_TSZ_20D,0.0,0.0,0.0,0.0,7.652328832851232e-06
