,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5
MOM_DistSMA5-25_RAW,4.897940137986947e-05,0.00012076665488271853,0.0001385872350330569,5.047459380091281e-05,0.0021176646823725057,9.82236296499317e-05
MOM_DistSMA25-75_RAW,0.00040698140712447926,0.00016775207385560015,0.0011358618025605052,0.0002993541164174718,0.0012494833385080365,0.0005902523997682062
MOM_LinRegSlope10_RAW,5.5724828546719966e-05,4.19819109201402e-05,0.00016734186308323205,5.3392250439112454e-05,2.8359851313539276e-05,6.630821692506895e-05
MOM_DistHigh60_RAW,4.124005020334717e-05,0.0002598948287257141,8.457715059407854e-05,6.13115077164489e-05,0.00026041802699684286,0.0001538906627478903
MOM_DistKijun_RAW,8.538965736344179e-05,0.00010691286494167186,0.00017949686836054383,0.0001491204634146942,7.230870586341549e-05,8.248450193101742e-05
MOM_NewHighFlag3_RAW,0.0,0.0,0.0,0.0,0.0,0.0
MOM_PricePos120_RAW,2.9053123699706082e-05,6.335690430127847e-05,7.604328614001781e-05,9.559381363022818e-05,5.184413382696262e-05,0.00015481102301914302
MOM_IchimokuDist_RAW,2.222669596034473e-05,5.614592269729914e-05,0.00017398311343298003,6.001289997850637e-05,0.00016112870770138544,0.00013952768881605557
MOM_Return10d_RAW,2.265946232570333e-05,0.00017677367443218162,0.0004048133911324906,5.947625867957798e-05,0.0003015685319758662,0.00018992649553473546
MOM_Return20d_RAW,9.455101606055212e-05,0.000356251385317042,0.0005768352667108998,0.00040206271574599634,0.00019618233494193092,0.00025195004467626884
MOM_BullishRatio20_RAW,0.0,0.0,1.1648451522871844e-05,0.0,5.315095734162724e-06,3.304740461035436e-05
MOM_ClosePosition_RAW,3.952524205412598e-05,5.7296255946525735e-05,1.5784071423125308e-05,2.1893169415207745e-05,1.4672139764627007e-05,0.0001780648089040454
MOM_MaxGain5_RAW,3.6567663777273744e-05,5.492651604827683e-05,4.65563529492263e-05,8.533434330243693e-05,8.640619322141948e-05,0.00013109335631375244
MOM_RCI26_RAW,5.4988778628952185e-06,0.00011028156438790486,7.822156629813764e-05,0.00021904818015287293,0.001060479955472192,0.00018409566088893153
MOM_RCI52_RAW,0.0003906275759290209,0.000281096842110603,0.001752588782016897,0.00011656021972293402,0.0017252015359277427,0.001389851289137462
MOM_Momentum12-1_RAW,0.00017074547580832019,0.00024710771713116716,0.0002940618771396825,0.00029288648230124263,0.0002962854692642757,0.0005334768135274021
MOM_WinRate10d_RAW,1.0538347837587289e-05,1.0997953536362277e-05,0.0,0.0,0.0,1.4772707012542323e-05
MOM_MADev25_RAW,9.138936648569699e-05,6.947651795763926e-05,5.698817181940791e-05,0.00024398108998869845,0.00032432154091196954,0.00014836659376546028
MOM_MADev75_RAW,0.00016075473937173415,0.0008647131274479705,0.0007182208431413793,0.0004983238130683122,0.0011519856591687835,0.0008597046017595293
MOM_MADev200_RAW,7.273868354087187e-05,0.00021847134770698636,0.00024000301197137,0.00020004676062433308,0.00012911713512509852,0.0002603147203956843
MOM_Return6m_RAW,4.1729625078649025e-05,0.0001740802309213789,0.00013198711080302352,0.00022626559052742862,7.520445038273965e-05,0.0002310911575792596
MOM_Return12m_RAW,0.00022789047188449574,0.0005569982699818992,0.0016369138493138153,0.0007045422272231824,0.0005846081296846901,0.0016606044067682551
MOM_High52wDist_RAW,4.697207989223341e-05,0.00021179588498521025,0.00015249038259686914,0.00033020950788125044,3.2008305519614364e-05,0.0003500597802720847
VOL_MAE5_RAW,0.0,0.0010089052384447802,0.000644237360198723,0.00016913205458236877,7.694652690531562e-05,0.00023261729862416079
VOL_MAE10_RAW,0.0,0.0005550842785547101,7.607209002835636e-05,3.3004023004218536e-05,3.984736306252569e-05,0.00034373835502467986
VOL_DownsideRun_RAW,0.00021591445610251507,9.404501768532368e-05,0.0005348374221017615,3.245769639412362e-05,0.0001395207196882306,0.00016920604374886023
VOL_GapAbs_RAW,1.2813853245756875e-05,7.743975729056694e-05,0.00021049277798818587,8.452775744519866e-05,0.0001604442394072855,0.00013157100795781914
VOL_LargeMoveCount_RAW,0.0,8.326221951854947e-05,0.0002605504422721676,8.922225409812444e-05,0.00010475834898368717,3.624363997471617e-05
