,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5
MOM_DistSMA5-25_RAW,5.972925173201327e-05,0.0,0.0,0.0,3.7207400642669985e-05,0.0
MOM_DistSMA25-75_RAW,0.0002288555107042314,0.00014399891613607206,0.0,0.0,0.00010640609748004424,0.0
MOM_LinRegSlope10_RAW,5.6980270547831005e-05,0.0,0.0,0.0,5.404012376512053e-05,3.7908926563261104e-05
MOM_DistHigh60_RAW,5.9462260248302564e-05,8.69055127566983e-06,0.0,0.0,0.0,0.0
MOM_DistKijun_RAW,0.00013959038211101642,0.0,0.0,0.0,3.620993649472559e-05,1.363887057336338e-05
MOM_NewHighFlag3_RAW,0.0,0.0,0.0,0.0,0.0,0.0
MOM_PricePos120_RAW,0.00026229500307492623,0.0,0.0,0.0,0.00025153492847430805,0.0
MOM_IchimokuDist_RAW,0.00026941617780528164,2.449132441342598e-05,0.0,0.0,1.3275753636950335e-05,0.0
MOM_Return10d_RAW,9.337921854491139e-05,9.175129969540433e-06,0.0,9.872011262314852e-06,8.60330306510105e-05,0.0
MOM_Return20d_RAW,8.897843401861512e-05,0.0,0.0,0.0,6.613848862164687e-06,0.00014521483297522654
MOM_BullishRatio20_RAW,0.0,0.0,0.0,0.0,0.0,0.0
MOM_ClosePosition_RAW,0.00014839960800896402,0.0,0.0,0.0,0.0,0.0
MOM_MaxGain5_RAW,0.00013842568850374638,0.0,0.0,0.0,2.3416547100299947e-05,0.0
MOM_RCI26_RAW,3.621064705232735e-05,0.0,0.0,0.0,2.5308902891372808e-05,0.0
MOM_RCI52_RAW,0.00012354966987253665,0.0,0.0,0.0,0.00017968627063143548,0.0
MOM_Momentum12-1_RAW,0.00021761955291814633,5.1440186452303835e-05,0.0,1.0473952548931459e-05,0.00013456141627281548,0.0
MOM_WinRate10d_RAW,0.0,0.0,0.0,0.0,0.0,0.0
MOM_MADev25_RAW,1.9767507575022827e-05,0.0,0.0,0.0,0.0,0.0
MOM_MADev75_RAW,0.0003852422074174404,0.0,0.0,2.9189554173623587e-05,7.879672774119101e-05,0.0
MOM_MADev200_RAW,0.00015144118385054163,3.716428676306291e-05,0.0,1.5066619759383065e-05,3.650466752172526e-05,0.00013788084431652956
MOM_Return6m_RAW,0.00043621760284689423,2.711700919259013e-05,0.0,0.0,3.414935633457487e-05,0.0
MOM_Return12m_RAW,0.0008395887256630066,0.00020033727053077568,0.0,3.406469841633281e-05,0.00021442106307071753,0.00012614871961352133
MOM_High52wDist_RAW,0.00010519814058218029,0.0,0.0,2.717426863051629e-05,3.1437754391656956e-05,0.0
VOL_MAE5_RAW,6.0008968004097085e-05,5.086258473739067e-05,0.0,0.0,0.0002707204325633051,0.0
VOL_MAE10_RAW,2.3277106573418433e-05,0.0,0.0,0.0,5.4350057214379725e-05,0.0
VOL_DownsideRun_RAW,0.00029181693315740164,0.0,0.0,4.724045868391958e-05,9.87025680047699e-05,0.0
VOL_GapAbs_RAW,4.619516356461484e-05,0.0,0.0,0.0,3.05731269643846e-05,0.0
VOL_LargeMoveCount_RAW,6.35547532380431e-05,1.154618714067741e-05,0.0,0.0,3.1481039001178323e-05,0.0
VOL_ATRRatio_RAW,0.0002461093150496922,6.57546394047963e-05,0.0,6.517049636858423e-05,0.00012962341637981885,0.0
VOL_ATRSqueezeBB_RAW,0.00031388716356909436,2.752434456947244e-05,0.0,3.642311877534003e-05,7.033119111632165e-05,0.0
VOL_HistVol20_RAW,0.0005595388344421663,3.124552442954018e-05,0.0,4.3184506696442615e-05,0.0007877479027348178,0.0
VOL_HV30_RAW,0.0005249303886937833,3.013390847054196e-05,0.0,3.6158835407178054e-05,0.0003571186267193353,0.0
VOL_UlcerIndex14_RAW,0.0010158018147560137,2.099795196790983e-05,0.0,4.214407306064813e-05,2.333166602293522e-05,0.0
VOL_VolatilityParkinson_RAW,0.00017351369170703738,3.052007085299912e-05,0.0,2.5146515992730436e-05,0.00016451134027600689,0.0
VOL_ReturnVolatility_RAW,0.00014450931369399019,1.440122552022742e-05,0.0,0.0,0.00024295481840964526,0.0
VOL_DownsideDev60_RAW,0.000134632826372947,5.1594206405631195e-05,0.0,3.2595771858876465e-05,0.0002193883636494537,3.315650893415877e-06
VOL_Volatility60_RAW,0.00029649048120398546,2.461297684626282e-05,0.0,5.332823658460323e-06,8.140895256094931e-05,0.0
LIQ_VolSpikeCount20_RAW,0.0,0.0,0.0,0.0,0.0,0.0
QLT_ROE_RAW,5.7974314138238186e-05,0.0,0.0,0.0,2.542516788103056e-05,0.0
QLT_SalesGrowthYOY_RAW,0.0009609011259315229,0.0,0.0,0.0,8.818495632632566e-06,0.0
SPD_VWAPDev_RAW,0.0008079884918372624,0.00020847608661891156,0.0,0.0009696632065295675,0.0021285062305108483,0.0
SPD_MarketForeignBuy_RAW,0.0033625210490610185,0.0017064746303963884,0.0,0.0012349929008058493,0.0013503182212797784,0.0011934238289409776
SPD_MarketIndividualBuy_RAW,0.0017305551761406738,0.00030202926751138283,0.0,0.0007269764662573852,0.002722280950118617,0.0007819529801224961
SPD_OverseaFlowTrend_RAW,0.0017950433398059176,0.0004027809696338988,2.133814359948054e-05,0.0006507122575813586,0.0005247899050610585,0.0007523430580106756
BET_Beta60_RAW,0.0018673924631722467,0.0004011697897388147,5.985138795790288e-05,0.0003871265113587024,0.00044437303671062935,1.115904180775683e-05
BET_MarketHV20_RAW,0.0011320775178092885,0.00010268781285444576,0.0,0.00013128764521843533,0.0004775573679801001,0.0
BET_SectorRel_RAW,0.0016838067719406311,1.8229395053573602e-05,0.0,2.052483487335516e-05,0.0003245538107173699,0.0
BET_SectorRelStrength60_RAW,0.0008983344489051787,7.33534150655722e-05,0.0,2.283072190656115e-05,0.00021284812425776374,0.0
SEA_MonthInQuarter_RAW,0.00037409861188592155,0.000160377394669503,0.0,0.0,0.00011068721019652988,0.0
SEA_DayOfMonth_RAW,0.0018692332530548176,0.0004973355187203655,0.0,0.0002934632912950365,0.0007263338587610315,0.00022558685672028367
SEA_DayOfWeek_RAW,0.0002473272053496487,5.844729471746339e-05,0.0,0.00011917013216791477,0.00042759143467076564,0.0
SEA_SinDayOfWeek_RAW,0.00013634635261811073,6.866160899711427e-05,0.0,0.0001331570161039103,7.74817331434867e-05,2.2840380643601455e-05
SEA_CosDayOfWeek_RAW,0.00010613210932801212,4.9496770697350816e-05,0.0,6.150453645509314e-05,0.00019132841944247245,5.007397983795884e-06
SEA_IsGotobi_RAW,0.0001898504673963797,0.0,0.0,9.859012739308214e-05,5.071643157192447e-06,0.0
SEA_IsMonthEnd_RAW,1.925640998740227e-05,0.0,0.0,0.0,0.0,0.0
SEA_Quarter_RAW,0.0007433817213930424,0.000320549013092452,0.0,4.176383323137028e-05,0.00022369293020074268,0.0
SEA_IsQuarterEnd_RAW,7.634493206594524e-05,9.384457512584146e-05,0.0,0.0,0.0,0.0
SEA_TimeIdx_RAW,0.002694070857664051,0.0005587451002528235,0.0,0.00016424717799927156,0.00014834332149647796,0.0
EVT_IsMissingEPS_RAW,0.0,0.0,0.0,0.0,0.0,0.0
EVT_LogDaysSincePub_RAW,0.0019960959699774866,7.277231582467215e-05,0.0,0.0001729085613269949,0.00048813659615529236,0.0
CON_RevisionRate_RAW,0.0,0.0,0.0,0.0,0.0,0.0
CON_ProgressRate_RAW,6.97417245219798e-05,9.740646900718008e-06,0.0,0.0,4.7206138042311145e-06,8.65199807375321e-05
GOV_MarketSegment_RAW,0.0,0.0,0.0,0.0,3.163728904758572e-05,0.0
GOV_Sector33Code_RAW,0.00011351244284698343,4.193953702011099e-05,1.2827936378052614e-05,8.709366837868535e-05,4.842813771374088e-05,0.0
MOM_ADX14_TSZ_20D,2.105318928600445e-05,0.0,0.0,0.0,1.2396983153224694e-05,0.0
MOM_ADX14_TSR_252D,5.878360813630842e-05,0.0,0.0,0.0,1.462263705794656e-05,0.0
MOM_DistSMA5_TSZ_20D,0.00017441585521500564,4.577600428896691e-06,0.0,0.0,3.689360414745398e-05,0.0
MOM_DistSMA5-25_TSZ_20D,0.0,0.0,0.0,0.0,0.0,0.0
MOM_DistSMA5-25_TSR_252D,5.226202415568196e-05,2.619507862399366e-05,0.0,0.0,3.435573327724291e-05,0.0
MOM_DistSMA25-75_TSZ_20D,1.610541230546476e-05,0.0,0.0,0.0,4.4834316702121665e-05,0.0
MOM_DistSMA25-75_TSR_252D,8.263073533268984e-05,0.0,0.0,0.0,9.181504507990811e-06,0.0
MOM_EfficiencyRatio10_TSZ_20D,1.9860082663870665e-05,0.0,0.0,0.0,0.0,0.0
MOM_EfficiencyRatio10_TSR_252D,3.814823714301397e-05,0.0,0.0,0.0,1.685869989863271e-05,0.0
MOM_MACDHistNorm_TSZ_20D,5.105492302986444e-05,7.077622030918709e-05,0.0,0.0,3.639427105304773e-05,0.0
MOM_MACDHistNorm_TSR_252D,3.315478731270565e-05,0.0,0.0,0.0,2.9918713903427853e-05,0.0
MOM_MACDHistDiff_TSZ_20D,9.736025286308151e-05,0.0,0.0,0.0,1.8789521144558008e-05,0.0
MOM_MACDHistDiff_TSR_252D,5.4931924040110114e-05,0.0,0.0,8.352141873451256e-05,8.068158367427326e-05,0.0
MOM_DistHigh60_TSZ_20D,1.3833460480280798e-05,0.0,0.0,0.0,0.0,0.0
MOM_DistHigh60_TSR_252D,2.7652539608403895e-05,0.0,0.0,3.3398883966023156e-05,3.227627953394222e-05,0.0
MOM_DistHigh250_TSZ_20D,2.757634488071748e-05,1.232254282729607e-05,0.0,0.0,0.0,0.0
MOM_DistKijun_TSZ_20D,0.00019495118920519468,0.0,0.0,0.0,0.0,0.0
MOM_DistKijun_TSR_252D,0.0,0.0,0.0,0.0,0.0,0.0
MOM_NewHighFlag3_TSZ_20D,0.0,0.0,0.0,9.378824219538542e-06,1.1483743858365893e-05,0.0
MOM_NewHighFlag3_TSR_252D,6.500205656765515e-05,0.0,0.0,0.0,0.0,0.0
MOM_PricePos120_TSZ_20D,0.00010932853076734554,4.128359423396323e-06,0.0,0.0,0.0,0.0
MOM_PricePos120_TSR_252D,7.641178726868778e-05,0.0,0.0,0.0,4.811396399099381e-05,0.0
MOM_IchimokuDist_TSZ_20D,0.00012598465562525772,0.0,0.0,0.0,0.0,1.4374120717868054e-05
MOM_IchimokuDist_TSR_252D,1.2904243281179568e-05,0.0,0.0,1.6472565724216856e-05,3.119915352718813e-05,0.0
MOM_LogReturn_TSR_252D,6.519356106028842e-05,0.0,0.0,0.0,1.739328242586526e-05,0.0
MOM_Return3d_TSZ_20D,9.527926452487257e-05,1.5474919698328272e-05,0.0,0.0,1.5155422097919564e-05,0.0
MOM_Return3d_TSR_252D,9.053307670928901e-05,0.0,0.0,2.508562319042937e-05,2.4889469840865065e-05,0.0
MOM_Return5d_TSZ_20D,0.00014532612206098476,2.927630305193684e-05,0.0,0.0,0.00010607016168547377,0.0
MOM_Return5d_TSR_252D,2.0728075418187776e-05,0.0,0.0,2.3119403181535663e-05,4.361246752353994e-05,0.0
MOM_Return10d_TSZ_20D,6.261605837445796e-05,3.6527282592739354e-05,0.0,0.0,4.192519811008574e-05,0.0
MOM_Return10d_TSR_252D,4.3554693273271774e-05,0.0,0.0,0.0,0.0,0.0
MOM_Return20d_TSZ_20D,0.00010499355985292013,0.0,0.0,0.0,4.3779475132648315e-05,0.0
MOM_Return20d_TSR_252D,0.00012035126507043133,0.0,0.0,0.0,0.0,0.0
MOM_Return1dLag1_TSR_252D,4.324381755339652e-05,0.0,0.0,0.0,2.6559864982764615e-05,0.0
MOM_Return1dLag2_TSR_252D,8.068074494977546e-05,5.189018443337021e-05,0.0,1.2218625259768126e-05,3.626716631968039e-05,0.0
MOM_RSI9-14Diff_TSZ_20D,0.00011228166881275994,0.0,0.0,0.0,6.427276461811124e-06,0.0
MOM_RSI9-14Diff_TSR_252D,7.625699623782621e-05,9.280413961130804e-05,0.0,0.0,0.0,0.0
MOM_BBPercentB_TSZ_20D,0.0,0.0,0.0,0.0,4.5491852739372904e-05,0.0
MOM_UpperShadowRatio_TSZ_20D,5.4287726829615995e-05,0.0,0.0,0.0,1.0528154018319508e-05,0.0
MOM_UpperShadowRatio_TSR_252D,0.0,0.0,0.0,0.0,1.977189973614571e-05,0.0
MOM_LowerShadowRatio_TSZ_20D,2.4873028884344038e-05,0.0,0.0,0.0,5.374287367463638e-06,0.0
MOM_LowerShadowRatio_TSR_252D,2.290518803027402e-05,0.0,0.0,0.0,3.2437706607829866e-05,0.0
MOM_IntradayStrength_TSR_252D,4.874899139955017e-05,0.0,0.0,0.0,2.9079628146452795e-05,0.0
MOM_LowerShadowMA5_TSZ_20D,0.0,0.0,0.0,0.0,1.9852077491128283e-05,0.0
MOM_LowerShadowMA5_TSR_252D,2.2499733924855767e-05,0.0,0.0,0.0,9.553411166489577e-06,0.0
MOM_Streak_TSZ_20D,0.0002193518795845675,0.0,0.0,0.0,4.306928143551478e-06,0.0
MOM_Streak_TSR_252D,4.356883511998047e-05,1.5979742380396287e-05,0.0,1.0749292963642557e-05,5.953225135257215e-05,0.0
MOM_BullishRatio20_TSZ_20D,6.047629610332465e-06,0.0,0.0,0.0,0.0,0.0
MOM_BullishRatio20_TSR_252D,0.0,0.0,0.0,0.0,1.3213863552645467e-05,0.0
MOM_ClosePosition_TSZ_20D,1.7330423155338337e-05,0.0,0.0,0.0,0.0,0.0
MOM_ClosePosition_TSR_252D,0.00011504815291366273,4.393367215642594e-06,0.0,0.0,3.6854470608816636e-05,0.0
MOM_GapRate_TSZ_20D,7.046119428626168e-05,0.0,0.0,0.0,2.9438415274785054e-05,0.0
MOM_GapRate_TSR_252D,0.00013108667047451078,0.0,0.0,0.0,3.197086772823615e-05,0.0
MOM_MaxGain5_TSZ_20D,1.770082587114288e-05,6.954179061083747e-06,0.0,1.2197376720075667e-05,5.5602463200397e-05,0.0
MOM_MaxGain5_TSR_252D,0.00010883699354407694,0.0,0.0,2.9982107838152194e-05,0.0,0.0
MOM_RCI9_TSZ_20D,5.9725594148556636e-05,7.840298934473142e-06,0.0,0.0,4.462402594937002e-05,0.0
MOM_RCI9_TSR_252D,2.385357385467108e-05,2.2337996333988236e-05,0.0,0.0,3.556108443335346e-05,0.0
MOM_RCI9Diff_TSR_252D,1.15573572587176e-05,0.0,0.0,0.0,0.0,0.0
MOM_RCI26_TSZ_20D,0.0,0.0,0.0,0.0,5.138399688266197e-05,0.0
MOM_RCI26_TSR_252D,7.857298631677147e-05,0.0,0.0,0.0,0.0,0.0
MOM_RCI26Diff_TSZ_20D,0.000395736926367881,0.0,0.0,0.0,0.0,0.0
MOM_RCI26Diff_TSR_252D,0.0002101831479205365,0.0,1.4876989685734105e-05,0.0,5.2089636310592e-05,0.0
MOM_RCI52_TSZ_20D,0.0005600743331223876,0.0,0.0,0.00019544439710281704,0.0004386471432168027,0.0
MOM_RCI52_TSR_252D,0.00011080210120635734,0.0,0.0,2.2812783390253425e-05,2.1465524473711194e-05,0.0
MOM_Momentum12-1_TSZ_20D,0.00010620808171654996,4.634692232041679e-05,0.0,0.0,1.40586240228926e-05,0.0
MOM_Momentum12-1_TSR_252D,0.0003461876090894544,0.0,0.0,0.0,3.74776008710096e-05,0.0
MOM_RetIntraday_TSZ_20D,0.00010095946389235115,0.0,0.0,0.0,2.3133955591350183e-05,0.0
MOM_RetIntraday_TSR_252D,7.639472110908727e-05,0.0,0.0,1.0043096304843676e-05,5.8637762988807586e-05,2.0108806130932072e-05
MOM_WinRate10d_TSZ_20D,2.5950746165698928e-05,0.0,0.0,0.0,0.0,0.0
MOM_WinRate10d_TSR_252D,5.3015552081794295e-05,0.0,0.0,0.0,0.0,0.0
MOM_MADev25_TSZ_20D,0.0,0.0,0.0,0.0,0.0,0.0
MOM_MADev25_TSR_252D,3.468536149245505e-05,0.0,0.0,4.2705218602294854e-05,3.8094405540067664e-05,0.0
MOM_MADev75_TSZ_20D,9.84871847827356e-06,0.0,0.0,4.403364061587098e-05,0.0,0.0
MOM_MADev75_TSR_252D,0.00010308927787346887,0.0,0.0,0.0,4.6414343413826455e-05,0.0
MOM_MADev200_TSZ_20D,7.348887302038568e-05,4.24816597825197e-05,0.0,0.0,0.0,0.0
MOM_MADev200_TSR_252D,5.75469581947486e-06,1.2131621122874133e-05,0.0,0.0,3.20559946769156e-05,0.0
MOM_Return6m_TSZ_20D,0.00034637922838993344,0.0,0.0,0.0,3.5297518541630334e-05,0.00012523336033932615
MOM_Return6m_TSR_252D,4.86744876769307e-05,0.0,0.0,0.0,0.0,0.0
MOM_Return12m_TSZ_20D,0.0002414108533286386,0.0,0.0,1.903860511484694e-05,0.00017412385364624358,0.0
MOM_Return12m_TSR_252D,5.835844741005072e-06,1.4701728313847293e-05,0.0,0.0,2.3854342030681818e-05,0.0
MOM_High52wDist_TSZ_20D,1.5985458226134026e-05,0.0,0.0,0.0,1.8750096820045106e-05,0.0
MOM_High52wDist_TSR_252D,0.00016389368944933117,0.0,0.0,0.0,4.264489093154031e-05,0.0
VOL_MAE5_TSZ_20D,0.0,6.78037945461839e-05,0.0,0.0,0.0,0.0
VOL_MAE5_TSR_252D,1.5748949026863147e-05,0.0,0.0,0.0,2.7613422578313523e-05,0.0
VOL_MAE10_TSZ_20D,3.4425483509924315e-05,0.0,0.0,0.0,0.0,0.0
VOL_MAE10_TSR_252D,1.625702572590601e-05,0.0,0.0,0.0,0.0,0.0
VOL_DownsideRun_TSZ_20D,0.00023586751039842576,0.0,0.0,0.0,2.2013802103067435e-05,0.0
VOL_DownsideRun_TSR_252D,8.013984542079225e-05,0.0,0.0,0.0,0.0,0.0
VOL_ReturnSkewnessDiff_TSZ_20D,6.978239860249188e-06,8.483074022709445e-06,0.0,0.0,0.0,0.0
