,fold_0,fold_1,fold_2,fold_3,fold_4
MOM_DistSMA5-25_RAW,0.0,0.0,0.0,0.0002571726529509187,0.0
MOM_DistSMA25-75_RAW,0.0,0.0,0.0002544606388770132,0.0004944312126173775,6.095861943899211e-05
MOM_LinRegSlope10_RAW,0.0,1.6005100508279674e-05,0.0005624645281419383,0.0005400944665769832,0.001909764344230105
MOM_DistHigh60_RAW,5.5506457577591465e-05,0.0,9.912880851617083e-05,4.990826206123318e-05,0.000637453504207126
MOM_DistKijun_RAW,0.0,0.0,0.0,0.0,0.00017346260296678025
MOM_NewHighFlag3_RAW,0.0,0.0,0.0,0.0,0.0
MOM_PricePos120_RAW,9.049811448514741e-05,0.0,0.00023148565853120244,0.0003359750912816198,0.0006446934912772162
MOM_IchimokuDist_RAW,4.191850334905672e-05,0.0,0.0003523310356838997,0.00011327533936032424,0.001146139660888388
MOM_Return10d_RAW,0.0,0.0,0.0,0.00021804025113272453,0.00017596489617884744
MOM_Return20d_RAW,0.0,0.0,0.00014647070486005536,0.00022905064764312637,6.138595963990256e-05
MOM_BullishRatio20_RAW,0.0,0.0,0.0,0.0001497449794601133,3.938195058207162e-05
MOM_ClosePosition_RAW,0.0,0.0,5.4755744251208825e-05,1.8276246246417912e-05,7.377216499138938e-05
MOM_MaxGain5_RAW,0.0,0.0,6.080186289357085e-05,0.00013449681709141518,9.048687723292806e-05
MOM_RCI26_RAW,0.0,0.0,4.252185368589878e-05,0.0001965872384015876,0.0
MOM_RCI52_RAW,0.0,1.7448746930676648e-05,7.690822313367861e-05,0.0004587596315810627,0.0005486661310878575
MOM_Momentum12-1_RAW,2.4236833386654913e-05,0.0003846053095497616,0.00038997355163188237,0.0016465756919720588,0.0016694343127002923
MOM_WinRate10d_RAW,0.0,0.0,0.0,0.0,0.0
MOM_MADev25_RAW,4.307454415696452e-05,0.0,0.0,5.689924361137185e-05,0.0003166062747872883
MOM_MADev75_RAW,0.0,0.0,0.0001344670224016135,0.00021253951100504354,0.00011472650146815991
MOM_MADev200_RAW,0.0,0.0,0.00015067080950501355,0.00020662211628228223,0.0005377033476391248
MOM_Return6m_RAW,0.0,0.0,4.6231517386213474e-05,0.0005124535429785448,0.0001175847178782072
MOM_Return12m_RAW,0.0002461900858826895,0.000385684242327901,0.0029389210181005004,0.006959631395520748,0.006601105821902482
MOM_High52wDist_RAW,0.0,0.0001868590706380377,0.00021333389930309286,0.00032648006836305044,0.0007479440633818565
VOL_MAE5_RAW,0.00035326119177039856,0.0,1.6268311443947703e-05,9.634561557146514e-05,0.0
VOL_MAE10_RAW,0.0,0.0,0.0,0.00024602987360522395,0.0006211826873710437
VOL_DownsideRun_RAW,0.0,0.0,5.60584142512418e-05,8.487795998373126e-05,1.6146897517110888e-05
VOL_GapAbs_RAW,0.0,0.0,0.0,0.0,0.0007244499170897012
VOL_LargeMoveCount_RAW,3.458593394209383e-05,0.00010241815527194134,0.0,0.002322924778964465,0.00013363018546974173
VOL_ATRRatio_RAW,0.00044524906437512783,0.0003957672038421409,0.0010312412934895914,0.0012298368539747078,0.00803159249971515
VOL_ATRSqueezeBB_RAW,0.0,6.55226823606436e-05,0.00018489346110274525,0.0021791658652110394,0.0014504172572465494
VOL_HistVol20_RAW,0.0009908488700642098,0.000770231920803203,0.0037132626216390035,0.007047174288395898,0.0016029671535108085
