,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5
MOM_DistSMA5-25_RAW,1.0758512806831573e-05,9.868876529703176e-05,5.381483474162208e-05,2.477368800681511e-05,0.0002569988249794884,4.963600013734579e-05
MOM_DistSMA25-75_RAW,0.00020317560475949838,0.0001230340395743879,5.1322376581827334e-05,0.0003175309153317132,0.00023861905879247913,0.00039829163569987284
MOM_LinRegSlope10_RAW,2.634241593174115e-06,3.897743233963515e-05,1.5472265804700943e-05,1.1135556820070828e-05,3.4288199231316485e-06,3.9035328342493814e-05
MOM_DistHigh60_RAW,3.250047106656021e-06,0.00011052550917188147,1.3828314086358063e-05,1.6560140060228464e-05,2.5475847428384615e-05,6.061184863512777e-05
MOM_DistKijun_RAW,1.8005892305565724e-05,4.300175523037683e-05,0.0,5.225810002413644e-05,4.1577871423510817e-05,1.980672825315026e-05
MOM_NewHighFlag3_RAW,0.0,0.0,0.0,0.0,0.0,0.0
MOM_PricePos120_RAW,5.325172526776733e-05,5.879491556966625e-05,9.24448424354284e-06,1.940710297916107e-05,0.0,3.139933554601732e-05
MOM_IchimokuDist_RAW,0.0,5.6971139390529935e-05,1.2869418343426407e-05,8.847765549506407e-05,2.159771978394518e-05,3.630178443528466e-05
MOM_Return10d_RAW,2.2088350898615787e-05,0.00014819718956116294,0.0,2.7505156058844062e-05,0.0,3.758915497169855e-05
MOM_Return20d_RAW,1.7721900916746914e-05,9.9849619069813e-05,2.7005088376170525e-06,0.00018735215004686816,2.7455931676091436e-05,2.6822828012991876e-05
MOM_BullishRatio20_RAW,0.0,1.446756845881545e-05,0.0,0.0,0.0,0.0
MOM_ClosePosition_RAW,0.0,4.169270369338063e-06,0.0,2.9590995935708953e-05,4.721587185699137e-06,3.171235738307185e-05
MOM_MaxGain5_RAW,3.133024242875952e-05,7.178869446792931e-05,0.0,3.603148927239765e-05,3.7492367989569846e-05,3.621435807688203e-05
MOM_RCI26_RAW,1.3104940454498155e-05,9.610439807223075e-05,4.500920877342501e-06,0.00017960231180597577,0.0003631207715210277,4.8048791219036535e-05
MOM_RCI52_RAW,0.00022192258491054626,0.0002874987257639759,0.0003108844645992872,6.856234422603973e-05,0.0002105192708963,0.00024823605565346544
MOM_Momentum12-1_RAW,7.447471245924762e-05,0.00022828257316947898,4.8351525663144725e-05,0.0001749032203941867,0.0001208655006177249,0.00015879477351765317
MOM_WinRate10d_RAW,0.0,0.0,0.0,0.0,0.0,0.0
MOM_MADev25_RAW,5.543639537502988e-05,0.00010723360629789857,0.0,7.998964944880175e-05,3.3254444518808236e-06,3.431631162483648e-05
MOM_MADev75_RAW,8.336069378572629e-05,0.00039132059606337554,0.00010053917811350416,0.00025607939740516204,0.00026707111085648764,0.0002849647984769581
MOM_MADev200_RAW,2.06838247800691e-05,0.00013031859240619353,9.446031073857433e-06,4.969311733341839e-05,1.3170116294998409e-05,5.76084939555502e-05
MOM_Return6m_RAW,2.0338317747116342e-05,0.0002353654044073556,3.8569623790114746e-05,0.00010083110158380542,5.737962687478149e-05,4.6190102754308585e-05
MOM_Return12m_RAW,9.233725557263979e-05,0.0002992555589673016,1.031814535847705e-05,0.00038498691926654866,0.0001049221149936637,0.00033685395982596916
MOM_High52wDist_RAW,2.811677896662733e-05,0.00012219630963298647,2.5962045445170406e-05,0.00014486451156893316,2.1810769146232832e-05,6.607307589908716e-05
VOL_MAE5_RAW,7.194498651725179e-06,0.0006509725185038691,3.9669508812538945e-05,0.00023345667104289266,3.9834951192056216e-05,2.2792274211794318e-05
VOL_MAE10_RAW,2.538927393113569e-06,0.0003803371595527548,0.0,1.3359866622355348e-05,2.178999831137623e-05,0.00017138633826421554
VOL_DownsideRun_RAW,1.8533391873509852e-05,0.00032859991712695804,0.0,2.6190773668656224e-05,0.0,1.2812475360260453e-05
VOL_GapAbs_RAW,0.0,4.669380114924556e-05,0.0,8.06913852149159e-06,2.6198305330075753e-05,7.813805014476203e-06
VOL_LargeMoveCount_RAW,0.0,4.561516486743012e-05,0.0,2.4109065082046512e-05,0.0,5.202760681186958e-06
VOL_ATRRatio_RAW,5.87282559101199e-05,9.784612419010317e-05,2.8930780081416817e-05,9.123132868072225e-05,2.857443262226252e-05,0.0003026345099637123
